CRN,Course #,Sc,Title,Attribute,Units,CAP,Enr,Instructor,Days,Times,Room,Comments/Prereq.,Perm Only
30523,ECON 394,8,DISSERTATION WRITING,,Var,10,1,Junfu Zhang,-,-,-,GRADED PASS/FAIL; MUST CHOOSE NUMBER OF UNITS DURING REGISTRATON,Y
30601,ECON 394,10,DISSERTATION WRITING,,Var,10,1,Magda Tsaneva,-,-,-,GRADED PASS/FAIL; MUST CHOOSE NUMBER OF UNITS DURING REGISTRATION,Y
30180,ECON 395,1,DEPARTMENT COLLOQUIUM,,0.00,40,27,Jon Denton-Schneider,R,12:00 PM - 01:15 PM,JC104,,N
30479,ECON 399,0,DIRECTED STUDY,,Var,0,0,,-,-,-,CONTACT A FACULTY MEMBER TO ARRANGE,Y
34018,EDUC 005,1,OUR FUTURE OUR LEARNING,"VE

WE",1.00,15,12,Katerine Bielaczyc,"TF

F","01:25 PM - 02:40 PM

03:00 PM - 04:50 PM","ASEC303

ASEC303",P=IDND 018 OR WRIT'G PLCMNT,N
33757,EDUC 150,1,EXPLOR'G POWER OF YOUTH KNWLDG,DI,1.00,20,22,Rae Stevenson,TF,01:25 PM - 02:40 PM,JC120,,N
30076,EDUC 152,1,COMPLEXITIES OF URBAN SCHOOLS,"DI

POP",1.00,20,23,Cara Berg Powers,W,09:00 AM - 11:50 AM,JC102,OBSERVATION HOURS TBA; DIALOGUE COURSE,N
30078,EDUC 152,2,COMPLEXITIES OF URBAN SCHOOLS,"DI

POP",1.00,20,21,Cara Berg Powers,M,09:00 AM - 11:50 AM,JC102,OBSERVATION HOURS TBA; DIALOGUE COURSE,N
33758,EDUC 291,1,MULTICUL CHILD/YOUNG ADULT LIT,,1.00,20,21,Raphael Rogers,M,02:50 PM - 05:50 PM,JC104,,N
34019,EDUC 296,1,SP TP: STUDENTS AS PARTNERS,,0.50,15,13,Lynn Murray-Chandler,R,01:25 PM - 02:40 PM,B124,JRS & SRS ONLY,Y
30402,EDUC 298,0,INTERNSHIP,,Var,0,0,,-,-,-,CONTACT CAREER SERVICES TO ARRANGE; GRADED PASS/FAIL,Y
30451,EDUC 299,0,DIRECTED STUDY,,1.00,0,0,,-,-,-,CONTACT A FACULTY MEMBER TO ARRANGE,Y
30591,EDUC 308,1,LITERACY ACROSS CURRICULUM,,1.00,15,10,Erin Nerlino,T,02:50 PM - 05:50 PM,JC102,,N
30088,EDUC 361,1,HUMAN DEVELOPMENT & LEARNING,,1.00,15,13,Katerine Bielaczyc,R,02:50 PM - 05:50 PM,JC102,MAT STUDENTS ONLY,N
30090,EDUC 362,1,TEACHING AND LEARNING: ELEM,,1.00,10,5,Holly Dolan,W,02:50 PM - 05:50 PM,JC102,MAT STUDENTS ONLY,N
30091,EDUC 362,2,TEACHING & LEARNING: MS/SEC,,1.00,10,3,Letina Jeranyama,W,02:50 PM - 05:50 PM,JCED1,MAT STUDENTS ONLY,N
31344,EDUC 362,3,TEACHING AND LEARNING:ELEM,,1.00,10,4,Carmen Ocon,W,02:50 PM - 05:50 PM,JC102,MAT STUDENTS ONLY,N
34138,EDUC 362,4,TEACHING AND LEARNING,,1.00,10,4,Erin Nerlino,W,02:50 PM - 05:50 PM,S223,MAT STUDENTS ONLY,N
30594,EDUC 362,5,TEACHING AND LEARNING MS/S,,1.00,10,6,Raphael Rogers,W,02:50 PM - 05:50 PM,JCED2,MAT STUDENTS ONLY,N
30595,EDUC 362,6,TEACHING AND LEARNING MS/S,,1.00,10,3,Kyle Pahigian,W,02:50 PM - 05:50 PM,ASEC304,MAT STUDENTS ONLY,N
32563,EDUC 362,7,TEACHING AND LEARNING (ELEM),,1.00,20,2,Jennifer Conlon,W,02:50 PM - 05:50 PM,JC102,MAT STUDENTS ONLY,N
33673,EDUC 378,1,PRACTICUM MIDDLE SCHOOL,,1.00,5,0,Letina Jeranyama,-,-,-,,Y
30092,EDUC 378,2,PRACTICUM MIDDLE SCHOOL,,Var,10,3,Kyle Pahigian,-,-,-,REG FOR 1 OR 2 UNITS,N
30093,EDUC 379,1,PRACTICUM: SECONDARY EDUC,,Var,10,4,Letina Jeranyama,-,-,-,REG FOR 1 OR 2 UNITS,N
30769,EDUC 379,2,PRACTICUM: SECONDARY EDUC,,Var,10,0,Kyle Pahigian,-,-,-,REG FOR 1 OR 2 UNITS,N
30094,EDUC 379,3,PRACTICUM: SECONDARY EDUC,,Var,10,4,Erin Nerlino,-,-,-,REG FOR 1 OR 2 UNITS,N
30095,EDUC 379,4,PRACTICUM: SECONDARY EDUC,,Var,10,6,Raphael Rogers,-,-,-,REG FOR 1 OR 2 UNITS,N
30642,EDUC 380,1,TEACHING ENG LANGUAGE LEARNERS,,1.00,20,11,Carmen Ocon,T,02:50 PM - 05:50 PM,B124,MAT STUDENTS ONLY,N
30089,EDUC 386,1,WAYS/KNOW:PHYS/NAT SCI (ELEM),,1.00,20,15,"Letina Jeranyama, Mackenzie Satalino",M,02:50 PM - 05:50 PM,JC204,MAT STUDENTS ONLY; SENIORS BY PERM,N
30096,EDUC 388,1,PRACTICUM: ELEMENTARY EDUC,,Var,10,5,Holly Dolan,-,-,-,REG FOR 1 OR 2 UNITS,N
30643,EDUC 388,2,PRACTICUM: ELEMENTARY EDUC,,Var,10,4,Carmen Ocon,-,-,-,REG FOR 1 OR 2 UNITS,N
32560,EDUC 388,3,PRACTICUM: ELEMENTARY EDUC,,Var,10,2,Kimberly Feldman,-,-,-,REG FOR 1 OR 2 UNITS,N
30477,EDUC 399,0,DIRECTED STUDY,,Var,0,0,,-,-,-,CONTACT A FACULTY MEMBER TO ARRANGE,Y
33261,EN 105,1,WATER-ENERGY FOOD NEXUS,GP,1.00,30,29,Eman Lasheen,TR,10:25 AM - 11:40 AM,BP217,,N
34023,EN 228,1,FOOD SECURITY & CLIMATE CHANGE,,1.00,18,16,Morgan Ruelle,T,02:50 PM - 05:50 PM,CONF D,JRS & SRS ONLY,N
33785,EN 242,1,SUSTNBLE DEV ASSESS & PLAN,,1.00,18,17,Ravi Hanumantha,TR,09:00 AM - 10:15 AM,BP220,,N
32479,EN 265,1,"CITIES,REGNS,CLMT CHNG & HLTH",,1.00,18,17,Ravi Hanumantha,R,02:50 PM - 05:50 PM,B124,JRS & SRS ONLY,N
30039,EN 297,1,HONORS,,1.00,10,0,Christopher Williams,-,-,-,,Y
30389,EN 297,5,HONORS,,1.00,10,0,Philip Bergmann,-,-,-,,Y
30532,EN 297,6,HONORS,,1.00,10,0,Timothy Downs,-,-,-,,Y
30689,EN 297,7,HONORS,,1.00,10,0,Karen Frey,-,-,-,,Y
31350,EN 297,8,HONORS,,1.00,10,0,John Rogan,-,-,-,,Y
31498,EN 297,9,HONORS,,1.00,10,0,Yelena Ogneva-Himmelberger,-,-,-,,Y
34079,EN 297,10,HONORS,,1.00,10,1,Erin McCullough,-,-,-,,Y
30441,EN 298,0,INTERNSHIP,,1.00,0,0,,-,-,-,CONTACT CAREER SERVICES TO ARRANGE; GRADED PASS/FAIL,Y
30452,EN 299,0,DIRECTED STUDY,,1.00,0,0,,-,-,-,CONTACT A FACULTY MEMBER TO ARRANGE,Y
30024,ENG 020,1,INTRO TO LITERARY ANALYSIS,"VE

WE",1.00,20,13,Bruce Borowsky,TF,01:25 PM - 02:40 PM,ES402,P=IDND 018 OR WRIT'G PLCMNT,N
31789,ENG 110,1,LYRIC ARCHITECT:READ'G POETRY,"VE

WE",1.00,20,20,Kourtney Senquiz,MW,12:00 PM - 01:15 PM,G104,P=IDND 018 OR WRIT'G PLCMNT,N
30483,ENG 120,1,INTRODUCTION TO SHAKESPEARE,,1.00,30,17,Justin Shaw,MW,04:15 PM - 05:30 PM,BP217,,N
30726,ENG 134,1,WOMEN WRITERS II,"VE

WE",1.00,25,17,Lucilia Valerio,TR,09:00 AM - 10:15 AM,ASEC304,P=IDND 018 OR WRIT'G PLCMNT,N
33698,ENG 135,1,THE SHORT STORY,,1.00,35,14,Ravi Shankar,TF,02:50 PM - 04:05 PM,JF222,P=ANY VE COURSE,N
33682,ENG 139,1,QUEER LITERATURE,DI,1.00,20,20,Elizabeth Blake,MR,02:50 PM - 04:05 PM,G104,5 SEATS RESERVED FOR 1ST YR STUDENTS,N
33168,ENG 150,1,INTRO TO MEDIEVAL LIT,,1.00,20,19,Dianne Berg,TR,10:25 AM - 11:40 AM,BP326,,N
31729,ENG 180,1,AMERICAN LITERATURE I,"DI

HP",1.00,25,25,Spencer Tricker,TR,09:00 AM - 10:15 AM,JC204,,N
30653,ENG 199,1,"TEXT, THE WORLD, & THE CRITIC","DI

VE

WE",1.00,25,21,Meredith Neuman,TF,01:25 PM - 02:40 PM,B124,P=IDND 018 OR WRIT'G PLCMNT; RECOMMENDED FOR ENGLISH MAJORS,N
33364,ENG 201,1,PEER LEARNING ASSISTANT,,0.50,5,0,Justin Shaw,-,-,-,,Y
33471,ENG 201,2,PEER LEARNING ASSISTANT,,1.00,5,0,Lisa Kasmer,-,-,-,,Y
33985,ENG 218,0,WAR AND ITS AFTERMATH,"DI

VE

WE",1.00,16,14,Spencer Tricker,R,02:50 PM - 05:50 PM,ASEC304,P=ONE 100-LEVEL ENG COURSE & IDND 018 OR WRIT'G PLCMNT,N
34002,ENG 223,1,CULTURES OF ENERGY,GP,1.00,25,24,"Stephen Levin, Max Ritts",MW,12:00 PM - 01:15 PM,ASEC303,P=GEOG 017 OR ONE COURSE IN LITERARY STUDIES (ENG 100-299),N
33685,ENG 234,1,VIRGINIA WOOLF,,1.00,16,16,Elizabeth Blake,T,02:50 PM - 05:50 PM,ASEC304,P=ONE 100 LEVEL ENG COURSE,N
31138,ENG 238,1,CONTMPRY LATINO/A LITERATURE,,1.00,16,9,Lucilia Valerio,TR,10:25 AM - 11:40 AM,ASEC304,P=ONE 100-LEVEL ENG COURSE (ENG 100-199) OR PERM,N
33690,ENG 248,1,CONTEMPORARY LITERARY THEORY,,1.00,20,20,Stephen Levin,MW,04:15 PM - 05:30 PM,JC220,P=ONE 100 LEVEL ENG COURSE,N
33175,ENG 253,1,ADVANCED SHAKESPEARE,"DI

VE

WE",1.00,16,10,Justin Shaw,M,09:00 AM - 11:50 AM,TC305,P=IDND 018 OR WRIT'G PLCMNT & ONE 100-LEVEL ENG COURSE (100-199) OR TA 214 OR PERM,N
33692,ENG 262,1,SP TP:MONSTERS & MONSTROSITY,,1.00,16,16,Dianne Berg,M,02:50 PM - 05:50 PM,TC107,P=ONE 100 LEVEL ENG COURSE,N
34030,ENG 272,1,RADICALISM & BLACK ARTS MVMNT,,1.00,16,5,Kourtney Senquiz,W,09:00 AM - 11:50 AM,G104,P=ONE 100-LEVEL ENG COURSE,N
31297,ENG 296,1,WRITING THE THESIS,,0.50,15,4,Elizabeth Blake,R,04:15 PM - 05:30 PM,LEIR I,GRADED PASS/FAIL; MUST REG FOR ENG 297,N
31012,ENG 297,2,HONORS,,1.00,10,1,Elizabeth Blake,-,-,-,,Y
30041,ENG 297,3,HONORS,,1.00,10,0,Betsy Huang,-,-,-,,Y
31285,ENG 297,4,HONORS,,1.00,10,0,Justin Shaw,-,-,-,,Y
30042,ENG 297,5,HONORS,,1.00,10,1,Stephen Levin,-,-,-,,Y
31345,ENG 297,7,HONORS,,1.00,10,0,Kourtney Senquiz,-,-,-,,Y
30044,ENG 297,8,HONORS,,1.00,10,0,Lisa Kasmer,-,-,-,,Y
30045,ENG 297,9,HONORS,,1.00,10,1,Meredith Neuman,-,-,-,,Y
34132,ENG 297,10,HONORS,,1.00,10,1,Mandy Gutmann-Gonzalez,-,-,-,,Y
33335,ENG 297,11,HONORS,,1.00,10,0,Spencer Tricker,-,-,-,,Y
33448,ENG 297,12,HONORS,,1.00,10,0,Jeff Noh,-,-,-,,Y
33449,ENG 297,13,HONORS,,1.00,10,0,Dianne Berg,-,-,-,,Y
30310,ENG 298,0,INTERNSHIP,,1.00,0,0,,-,-,-,CONTACT CAREER SERVICES TO ARRANGE; GRADED PASS/FAIL,Y
30236,ENG 299,0,DIRECTED STUDY,,1.00,0,0,,-,-,-,CONTACT A FACULTY MEMBER TO ARRANGE,Y
30530,ENG 301,1,PEDAGOGY II,,1.00,5,2,Stephen Levin,-,-,-,REQUIRED FOR TAS,Y
30062,ENG 303,1,PEDAGOGY IV,,1.00,5,1,Stephen Levin,-,-,-,REQUIRED FOR TAS,Y
33986,ENG 318,1,WAR AND ITS AFTERMATH,,1.00,16,14,Spencer Tricker,R,02:50 PM - 05:50 PM,ASEC304,,N
34003,ENG 323,1,CULTURES OF ENERGY,,1.00,25,24,"Stephen Levin, Max Ritts",MW,12:00 PM - 01:15 PM,ASEC303,,N
33686,ENG 334,1,VIRGINIA WOOLF,,1.00,16,16,Elizabeth Blake,T,02:50 PM - 05:50 PM,ASEC304,,N
31139,ENG 338,1,CONTMPRY LATINO/A LITERATURE,,1.00,16,9,Lucilia Valerio,TR,10:25 AM - 11:40 AM,ASEC304,,N
33691,ENG 348,1,CONTEMPORARY LITERARY THEORY,,1.00,20,20,Stephen Levin,MW,04:15 PM - 05:30 PM,JC220,,N
33285,ENG 353,1,ADVANCED SHAKESPEARE,,1.00,16,10,Justin Shaw,M,09:00 AM - 11:50 AM,TC305,,N
33693,ENG 362,1,SP TP:MONSTERS & MONSTROSITY,,1.00,16,16,Dianne Berg,M,02:50 PM - 05:50 PM,TC107,,N
34031,ENG 372,1,RADICALISM & BLACK ARTS MVMNT,,1.00,16,5,Kourtney Senquiz,W,09:00 AM - 11:50 AM,G104,,N
31298,ENG 396,1,WRITING THE THESIS,,0.50,15,4,Elizabeth Blake,R,04:15 PM - 05:30 PM,LEIR I,GRADED PASS/FAIL; MUST REG FOR ENG 397,N
33289,ENG 397,2,MASTER'S THESIS,,1.00,10,0,Justin Shaw,-,-,-,,N
30877,ENG 397,6,MASTER'S THESIS,,1.00,10,1,Stephen Levin,-,-,-,,N
30878,ENG 397,7,MASTER'S THESIS,,1.00,10,0,Meredith Neuman,-,-,-,,N
30475,ENG 399,0,DIRECTED STUDY,,Var,0,0,,-,-,-,CONTACT A FACULTY MEMBER TO ARRANGE,Y
30957,ENT 105,1,CREATIVE ENTREPRENEURSHIP,VP,1.00,25,25,Matt Johnston,TF,12:00 PM - 01:15 PM,BP217,1ST YRS & SOPH ONLY,N
30715,ENT 115,1,ENTREPRENEURSHIP,,1.00,25,17,John Dobson,MW,12:00 PM - 01:15 PM,JC101,,N
30907,ENT 203,1,ART OF THE PITCH,"POP

VE

WE",1.00,25,25,Tim Hally,R,06:00 PM - 09:00 PM,JC101,P=IDND 018 OR WRIT'G PLCMNT,N
32336,ENT 212,1,MARKETING TO YOU,,0.50,54,56,Lawrence Norman,M,02:50 PM - 05:50 PM,S121,1ST MOD JAN. 13-FEB. 28,N
33908,ENT 245,1,SOCIAL ENTREPRENEURSHIP,,1.00,30,30,Paul Case,M,06:00 PM - 09:00 PM,CH120,,N
33151,ENT 296,1,SP TP:CLARK TANK VENTURE DVLPM,,0.50,25,7,Emilee Cocuzzo,M,06:00 PM - 09:00 PM,JC101,GRADED PASS/FAIL; 1ST MOD JAN. 13-FEB. 28,Y
30453,ENT 299,0,DIRECTED STUDY,,1.00,0,0,,-,-,-,CONTACT A FACULTY MEMBER TO ARRANGE,Y
32425,FIN 142,1,PRINCIPLES OF FINANCE,FA,1.00,38,39,Ruixiang Wang,MW,12:00 PM - 01:15 PM,CH120,P=ACCT 101,N
33800,FIN 142,2,PRINCIPLES OF FINANCE,FA,1.00,38,39,Ruixiang Wang,MW,04:15 PM - 05:30 PM,JC106,P=ACCT 101,N
31686,FIN 240,1,CORPORATE FINANCE,,1.00,30,17,Sitikantha Parida,MW,04:15 PM - 05:30 PM,JF222,P=FIN 142; JR & SR ONLY,N
33047,FIN 241,1,INVESTMENT MANAGEMENT,,1.00,30,24,Zhenyang Tang,TF,01:25 PM - 02:40 PM,JC101,P=FIN 142 & QBUS 110,N
30752,FREN 105,1,INTERMEDIATE FRENCH I,LP,1.00,19,9,Odile Ferly,MR,02:50 PM - 04:05 PM,ES414,P=FREN 103 OR 2-3 YRS OF FRENCH; MUST REG FOR DISC,N
30753,FREN 105,901,DISC: INTERMEDIATE FRENCH I,LP,0.00,10,3,Odile Ferly,T,05:00 PM - 05:50 PM,ES420,,N
30754,FREN 105,902,DISC: INTERMEDIATE FRENCH I,LP,0.00,9,6,Odile Ferly,W,06:00 PM - 06:50 PM,ES414,,N
30231,FREN 106,1,INTERMEDIATE FRENCH II,LP,1.00,19,7,Allison Fong,MW,04:15 PM - 05:30 PM,ASEC303,P= FREN 105 OR 4 OR 5 YEARS OF FRENCH; MUST REG FOR DISC,N
30232,FREN 106,901,DISC: INTERMEDIATE FRENCH II,LP,0.00,10,2,Allison Fong,T,06:00 PM - 06:50 PM,ES402,,N
30233,FREN 106,902,DISC: INTERMEDIATE FRENCH II,LP,0.00,9,5,Allison Fong,R,06:00 PM - 06:50 PM,ES402,,N
30323,FREN 120,1,WAYS OF WRITING & SPEAKING,LP,1.00,19,6,Allison Fong,MW,12:00 PM - 01:15 PM,S223,P=5+ YEARS OF FRENCH OR FREN 106 OR PERM,N
33892,FREN 145,1,TRANSLATION WORKSHOP,"LP

POP",1.00,19,8,Beth Gale,TF,12:00 PM - 01:15 PM,S223,P=FREN 120 OR FREN 124-296,N
31026,FREN 297,1,HONORS,,1.00,10,0,Odile Ferly,-,-,-,,Y
33893,FREN 299,0,DIRECTED STUDY,,Var,0,0,,-,-,-,CONTACT A FACULTY MEMBER TO ARRANGE,N
33326,GAME 010,1,HISTORY OF GAME DEVELOPMENT,HP,1.00,35,35,Kaylin Canon,"R

R","02:50 PM - 05:50 PM

02:50 PM - 05:50 PM","MACD103

MACD104",,N
31955,GAME 025,1,GAME DESIGN FUNDAMENTALS,AP,1.00,18,9,Minka Stoyanova,T,09:00 AM - 11:50 AM,MACD203,,N
32674,GAME 025,2,GAME DESIGN FUNDAMENTALS,AP,1.00,18,11,Skyler Barron,T,09:00 AM - 11:50 AM,MACD204,,N
33117,GAME 025,3,GAME DESIGN FUNDAMENTALS,AP,1.00,18,16,Elliot Epstein,F,09:00 AM - 11:50 AM,MACD204,,N
33415,GAME 025,4,GAME DESIGN FUNDAMENTALS,AP,1.00,18,15,Elliot Epstein,M,02:50 PM - 05:50 PM,MACD203,,N
33487,GAME 025,5,GAME DESIGN FUNDAMENTALS,AP,1.00,18,17,Skyler Barron,R,02:50 PM - 05:50 PM,MACD204,,N
32349,GAME 030,1,EXAMINING PLAY,VP,1.00,35,34,Amanda Theinert,"TR

TR","10:25 AM - 11:40 AM

10:25 AM - 11:40 AM","MACD104

MACD103",18 SEATS RESERVED FOR IMD STUDENTS,N
31688,GAME 055,1,PROCEDURAL MODELING,,1.00,18,11,Ezra Cove,R,09:00 AM - 11:50 AM,MACD204,IMD MAJORS & MINORS ONLY,N
31754,GAME 085,1,RASTER & VECTOR FOR GAMES,,1.00,18,17,Ilir Mborja,F,09:00 AM - 11:50 AM,MACD203,,N
33120,GAME 095,1,DIGITAL 3D MODELING,,1.00,18,15,Mengliu Lu,T,09:00 AM - 11:50 AM,MACD202,,N
33409,GAME 095,2,DIGITAL 3D MODELING,,1.00,18,17,Mengliu Lu,R,02:50 PM - 05:50 PM,MACD202,,N
33121,GAME 100,1,TEXTURING,,1.00,18,19,Mengliu Lu,M,02:50 PM - 05:50 PM,MACD202,P=GAME 095,N
31755,GAME 105,1,ENVIRONMENT ART,,1.00,18,16,Ezra Cove,M,09:00 AM - 11:50 AM,MACD202,P=GAME 095,N
32350,GAME 130,1,DIGITAL AUDIO PRODUCTION,,1.00,10,12,Stephen DiGregorio,T,06:00 PM - 09:00 PM,MACD202,,N
31994,GAME 135,1,DIGITAL MUSIC STUDIO,,1.00,18,17,Stephen DiGregorio,M,06:00 PM - 09:00 PM,MACD202,P=GAME 010 OR 025,N
31756,GAME 175,1,WRITING FOR FANTASY & RPGS,,1.00,18,24,Nevin Flanagan,M,09:00 AM - 11:50 AM,MACD104,,N
34038,GAME 180,1,COMP ILLUSTRATION GAME DESIGN,,1.00,11,6,Ilir Mborja,T,09:00 AM - 11:50 AM,MACD206,P=GAME 085,N
31758,GAME 200,1,LEVEL DESIGN,,1.00,18,20,Minka Stoyanova,T,02:50 PM - 05:50 PM,MACD203,P=GAME 025,N
31863,GAME 255,1,GAME STUDIO,,1.00,100,86,"Mengliu Lu, Amanda Theinert, Ulm Ulm, Elliot Epstein, Yu-Han Wang","W

W","10:00 AM - 01:00 PM

10:00 AM - 01:00 PM","MACD103

MACD204",P=GAME 025 OR 030; IMD ONLY; REG W/SAME FACULTY AS FALL,N
32043,GAME 255,2,GAME STUDIO,,1.00,100,68,"Ezra Cove, Ulm Ulm, Kat Andler, Ilir Mborja, Minka Stoyanova",W,10:00 AM - 01:00 PM,MACD104,P=GAME 025 OR 030; IMD ONLY,N
31762,GAME 260,1,SERIOUS GAME PROJECT,,1.00,40,45,"Ulm Ulm, Ilir Mborja","T

T","02:50 PM - 05:50 PM

02:50 PM - 05:50 PM","MACD103

MACD104",P=GAME 255 MIN OF 2XS OR PERM,N
31886,GAME 285,1,ADV TP:TBLTP & FNTSY CARD GAME,,1.00,18,13,Melizza Santram-Chernov,F,09:00 AM - 11:50 AM,MACD412,,N
34039,GAME 285,2,ADV TP:CONST ROLE PLAY'N TBLTP,,1.00,18,19,Nevin Flanagan,TF,12:00 PM - 01:15 PM,MACD103,,N
34040,GAME 285,3,ADV TP:2D ART,,1.00,12,12,Yu-Han Wang,R,09:00 AM - 11:50 AM,MACD205,,N
33325,GAME 285,4,ADV TOP: NARRATIVE DESIGN,,1.00,18,19,Kaylin Canon,M,09:00 AM - 11:50 AM,MACD205,,N
31957,GAME 298,0,INTERNSHIP,,1.00,0,0,,-,-,-,CONTACT CAREER SERVICES TO ARRANGE; GRADED PASS/FAIL,Y
31958,GAME 299,0,DIRECTED STUDY,,1.00,0,0,,-,-,-,CONTACT A FACULTY MEMBER TO ARRANGE,Y
31678,GART 100,1,PRINCIPLES OF DRAW'G FOR GAMES,AP,1.00,16,16,Scott Niemi,R,02:50 PM - 05:50 PM,MACD212,,N
31679,GART 225,1,CARTOONING BASICS,,1.00,18,15,Scott Niemi,M,09:00 AM - 11:50 AM,MACD212,P=GART 100 OR ARTS 100 OR ARTS 102,N
31680,GART 235,1,LIFE DRAWING FOR GAMES,,1.00,16,7,Scott Niemi,M,02:50 PM - 05:50 PM,MACD212,P=GART 100 OR ARTS 100 OR ARTS 102,N
31961,GART 299,0,DIRECTED STUDY,,1.00,0,0,,-,-,-,CONTACT A FACULTY MEMBER TO ARRANGE,Y
31757,GCPT 020,1,COMP PROG PRACTICES FOR GAMES,SP,1.00,18,22,Nevin Flanagan,TF,02:50 PM - 04:05 PM,MACD204,P=GCPT 010 OR CSCI 120,N
33834,GCPT 210,1,HCI IN THE ARTS,,1.00,18,17,Ulm Ulm,R,02:50 PM - 05:50 PM,MACD412,,N
31962,GCPT 299,0,DIRECTED STUDY,,1.00,0,0,,,,,CONTACT A FACULTY MEMBER TO ARRANGE,Y
33826,GEOG 090,1,"NATIVE AMERICAN, NATURAL RES","DI

HP",1.00,50,50,Max Ritts,MR,02:50 PM - 04:05 PM,JC001,,N
30908,GEOG 102,1,WEATHER & CLIMATE,SP,1.00,60,25,Christopher Williams,MWF,10:00 AM - 10:50 AM,JF218,MUST REG FOR LAB,N
30909,GEOG 102,901,LAB: WEATHER & CLIMATE,SP,0.00,30,18,Christopher Williams,M,01:25 PM - 02:40 PM,JC104,,N
30910,GEOG 102,902,LAB: WEATHER & CLIMATE,SP,0.00,30,7,Christopher Williams,M,02:50 PM - 04:05 PM,JC120,,N
30704,GEOG 104,1,EARTH SYSTEM SCIENCE,SP,1.00,75,55,Dominik Kulakowski,MW,12:00 PM - 01:15 PM,JF218,MUST REG FOR LAB,N
30706,GEOG 104,901,LAB: EARTH SYSTEM SCIENCE,SP,0.00,25,21,Dominik Kulakowski,R,02:50 PM - 04:40 PM,JC105,,N
30707,GEOG 104,902,LAB: EARTH SYSTEM SCIENCE,SP,0.00,25,16,Dominik Kulakowski,F,08:00 AM - 09:50 AM,JC105,,N
33414,GEOG 104,903,LAB: EARTH SYSTEM SCIENCE,SP,0.00,25,18,Dominik Kulakowski,F,11:00 AM - 12:50 PM,JC105,,N
33825,GEOG 107,1,MIRACLES OF ASIA,GP,1.00,45,28,Yuko Aoyama,TR,10:25 AM - 11:40 AM,S321,,N
33814,GEOG 118,1,ENVIRO & DEV IN GLOBAL SOUTH,GP,1.00,60,22,Gustavo Oliveira,TF,12:00 PM - 01:15 PM,JF218,MUST REG FOR DISC,N
33816,GEOG 118,901,DISC:ENVIRO & DEV GLOBAL SOUTH,GP,0.00,20,14,Gustavo Oliveira,M,11:00 AM - 11:50 AM,S223,,N
33817,GEOG 118,902,DISC:ENVIRO & DEV GLOBAL SOUTH,GP,0.00,20,8,Gustavo Oliveira,F,11:00 AM - 11:50 AM,ES402,,N
33994,GEOG 139,1,LABOR GEOG & WORKER ORGANIZ'G,POP,1.00,24,18,Siobhan McGrath,MR,01:25 PM - 02:40 PM,JC206,,N
30097,GEOG 141,1,RES DESIGN & METH IN GEOGRAPHY,FA,1.00,40,39,Rinku Roy Chowdhury,MW,04:15 PM - 05:30 PM,JC118,MUST REG FOR DISC; RECOMMENDED FOR SOPH,N
30790,GEOG 141,901,DISC:RES DESIGN & METH IN GEOG,FA,0.00,20,19,Rinku Roy Chowdhury,R,06:00 PM - 06:50 PM,BP220,,N
30791,GEOG 141,902,DISC:RES DESIGN & METH IN GEOG,FA,0.00,20,20,Rinku Roy Chowdhury,F,11:00 AM - 11:50 AM,BP220,,N
33818,GEOG 225,1,ENVIRONMENTAL POLITICS,,1.00,40,22,James McCarthy,TF,02:50 PM - 04:05 PM,JC106,,N
33821,GEOG 228,1,HYDROCLIMATOLOGY,,1.00,25,25,Abby Frazier,TF,01:25 PM - 02:40 PM,JF133,P=GEOG 102 OR 104,N
34220,GEOG 242,1,URBAN ETHNOGRAPHY LAB,DI,1.00,16,8,Asha Best,F,09:00 AM - 11:50 AM,JF202,P=GEOG 020 OR 141 OR 240 OR 248 OR 252 OR 258,N
33823,GEOG 247,1,INTERMED QUANT METHODS IN GEOG,,1.00,20,18,Yanan Wu,MR,02:50 PM - 04:05 PM,S223,P=GEOG 110,N
33066,GEOG 255,1,CRITICAL GEOPOLITICS & ENVIRO,,1.00,24,23,Gustavo Oliveira,TF,01:25 PM - 02:40 PM,JC106,P=GEOG 155 OR PERM,N
33819,GEOG 259,1,"GLOBAL CHG, FOOD & FARMING",,1.00,16,11,Rinku Roy Chowdhury,M,09:00 AM - 11:50 AM,JF220C,P=GEOG 017,N
33812,GEOG 282,1,ADVANCED REMOTE SENSING,,1.00,20,27,John Rogan,"R

TR","06:00 PM - 07:50 PM

09:00 AM - 10:15 AM","JC103

JC104",P=GEOG 293 OR ID 271,N
33054,GEOG 283,1,TERRESTRIAL ECOSYS & GLBL CHNG,,1.00,30,9,Christopher Williams,"MW

W","12:00 PM - 01:15 PM

09:00 AM - 10:30 AM","S311

JC105","P=GEOG 104, 116, 119, 205, 232, 263, OR BIOL 216",N
33832,GEOG 286,1,SP TOPICS:PYTHON PROGRAMMING,,1.00,20,10,Yanan Wu,"MF

R","09:00 AM - 10:15 AM

04:15 PM - 05:30 PM","JC103

JC103",,Y
33831,GEOG 286,2,SP TOPICS:ENERGY GEOGRAPHIES,,1.00,40,12,James McCarthy,TF,12:00 PM - 01:15 PM,JC106,,N
30046,GEOG 297,1,HONORS,,1.00,10,0,Christopher Williams,-,-,-,,Y
30047,GEOG 297,2,HONORS,,1.00,10,0,Yuko Aoyama,-,-,-,,Y
